Respondent ID,What concerns would you face when asked to fully disclose LLM involvement?,,,,,,,,,What personal benefits do you associate with following the AI usage disclosure policy?,,,,What concerns would you face when asked to ensure full human oversight of LLM-generated bug fixes?,,,,,,,,,What personal benefits do you associate with following the AI usage human oversight policy?,,,
,Increased workload- Efficiency/Time constraints,Intellectual property risk and security concerns,Reputational Impact- May raise doubts about code quality or team competence,Loss of control over own work,Fear of judgment about AI reliance,Legal/IP uncertainty,Lack of documentation tools,No concerns,Other (please specify),Disclosing AI usage in my code protects me from being unfairly blamed for bugs later.,I believe that documenting AI involvement increases trust in my contributions.,Transparency about AI usage improves team collaboration and communication.,I would be more likely to disclose LLM usage if it meant earning formal credit or recognition.,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,Limited technical understanding of the AI-generated code,Uncertainty about who is accountable for mistakes,Absence of clear organizational standards for validation,Difficulty coordinating review responsibilities within the team,Over-reliance on automated tools makes manual oversight redundant,No concerns,Other (please specify),"I feel more confident deploying code that has gone through human oversight, even if it was AI-assisted.",Human validation of AI-generated fixes helps me learn and improve my own debugging skills.,"If oversight is enforced, I feel less personally responsible for future issues in the code.",I would get recognition for responsible coding.
1.1002E+11,,,,,,,,No concerns,,Disagree,Agree,Disagree,Disagree,,,,,,,,No concerns,,Strongly Agree,Strongly Agree,Disagree,Agree
1.1002E+11,,Intellectual property risk and security concerns,Reputational Impact- May raise doubts about code quality or team competence,Loss of control over own work,Fear of judgment about AI reliance,,,,,Disagree,Disagree,Agree,Disagree,Added workload due to mandatory manual review,,,,Absence of clear organizational standards for validation,,Over-reliance on automated tools makes manual oversight redundant,,,Strongly Agree,Agree,Disagree,Agree
1.1002E+11,Increased workload- Efficiency/Time constraints,Intellectual property risk and security concerns,,,,,,,,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Added workload due to mandatory manual review,,Limited technical understanding of the AI-generated code,,,,,No concerns,,Strongly Agree,Strongly Agree,Disagree,Agree
1.1002E+11,,,Reputational Impact- May raise doubts about code quality or team competence,,,Legal/IP uncertainty,,,,Disagree,Agree,Agree,Strongly Disagree,,Lack of time or resources to verify every AI-generated change,,Uncertainty about who is accountable for mistakes,Absence of clear organizational standards for validation,,,,,Strongly Agree,Agree,Agree,Strongly Agree
1.1002E+11,Increased workload- Efficiency/Time constraints,,,,,,Lack of documentation tools,,,Disagree,Agree,Agree,Agree,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,,,,,,,,Strongly Agree,Strongly Agree,Disagree,Agree
1.1002E+11,Increased workload- Efficiency/Time constraints,,Reputational Impact- May raise doubts about code quality or team competence,,Fear of judgment about AI reliance,,,,,Disagree,Agree,Strongly Agree,Agree,,,Limited technical understanding of the AI-generated code,,Absence of clear organizational standards for validation,,Over-reliance on automated tools makes manual oversight redundant,,,Strongly Agree,Agree,Strongly Agree,Strongly Agree
1.1002E+11,,Intellectual property risk and security concerns,Reputational Impact- May raise doubts about code quality or team competence,Loss of control over own work,,Legal/IP uncertainty,,,,Disagree,Agree,Strongly Agree,Agree,,Lack of time or resources to verify every AI-generated change,,,Absence of clear organizational standards for validation,Difficulty coordinating review responsibilities within the team,Over-reliance on automated tools makes manual oversight redundant,,,Agree,Agree,Agree,Strongly Agree
1.1002E+11,Increased workload- Efficiency/Time constraints,,Reputational Impact- May raise doubts about code quality or team competence,,Fear of judgment about AI reliance,,Lack of documentation tools,,,Strongly Agree,Agree,Agree,Strongly Agree,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,Limited technical understanding of the AI-generated code,Uncertainty about who is accountable for mistakes,Absence of clear organizational standards for validation,Difficulty coordinating review responsibilities within the team,,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1.1002E+11,,,Reputational Impact- May raise doubts about code quality or team competence,Loss of control over own work,Fear of judgment about AI reliance,,Lack of documentation tools,,,Agree,Disagree,Strongly Agree,Agree,Added workload due to mandatory manual review,Lack of time or resources to verify every AI-generated change,,Uncertainty about who is accountable for mistakes,Absence of clear organizational standards for validation,,Over-reliance on automated tools makes manual oversight redundant,,,Strongly Agree,Agree,Agree,Disagree
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mean = 3.00,Mean = 1.95,Mean = 1.63,Mean = 2.21,,,,,,,,,,Mean = 1.11,Mean = 1.47,Mean = 2.21,Mean = 1.79
,42.11%,42.11%,57.89%,26.32%,42.11%,26.32%,21.05%,,,,,,,63.16%,63.16%,26.32%,36.84%,31.58%,21.05%,47.37%,,,,,,
