Respondent ID,What is your current professional affiliation?,"In a LOW-RISK software application, how likely are you to use LLMs for the following types of support during bug fixing?",,,,,"In a LOW-RISK software application, how much verification effort (on a scale from 1 to 10) would you assign when receiving the following types of support from an LLM during bug fixing?(1 = No verification required, 10 = Full manual verification required)",,,,,"In a LOW-RISK software application, imagine a scenario where a bug is fixed using LLM. For each type of support provided by the LLM, please indicate: (1) the level of credit you would assign to the LLM for the bug fix and (2) the level of liability you would assign to the LLM if the bug were to reoccur.(For each row, select one option under each column.)",,,,,,,,,,"In a HIGH-RISK software application, how likely are you to use LLMs for the following types of support during bug fixing?",,,,,"In a HIGH-RISK software application, how much verification effort (on a scale from 1 to 10) would you assign when receiving the following types of support from an LLM during bug fixing?(1 = No verification required, 10 = Full manual verification required)",,,,,"In a HIGH-RISK software application, imagine a scenario where a bug is fixed using LLM. For each type of support provided by the LLM, please indicate: (1) the level of credit you would assign to the LLM for the bug fix, (2) the level of likelihood of the bug reoccurring due to insufficient verification, and (3) the level of liability you would assign to the LLM if the bug were to reoccur.(For each row, select one option under each column.)",,,,,,,,,
,Response,Code Syntactic Assistance,Code Semantic Assistance,Contextual Suggestions,Documentation Lookup,Code Debug Assistance,Code Syntactic Assistance,Code Semantic Assistance,Contextual Suggestions,Documentation Lookup,Code Debug Assistance,Code Syntactic Assistance - Credit,Code Syntactic Assistance - Liability,Code Semantic Assistance - Credit,Code Semantic Assistance - Liability,Contextual Suggestions - Credit,Contextual Suggestions - Liability,Documentation Lookup - Credit,Documentation Lookup - Liability,Code Debug Assistance - Credit,Code Debug Assistance - Liability,Code Syntactic Assistance,Code Semantic Assistance,Contextual Suggestions,Documentation Lookup,Code Debug Assistance,Code Syntactic Assistance,Code Semantic Assistance,Contextual Suggestions,Documentation Lookup,Code Debug Assistance,Code Syntactic Assistance - Credit,Code Syntactic Assistance - Liability,Code Semantic Assistance - Credit,Code Semantic Assistance - Liability,Contextual Suggestions - Credit,Contextual Suggestions - Liability,Documentation Lookup - Credit,Documentation Lookup - Liability,Code Debug Assistance - Credit,Code Debug Assistance - Liability
1.1002E+11,Industry - Software Development,Very Likely,Very Likely,Moderate,Very Likely,Likely,6,10,7,7,9,76% - 100%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,0% - 25%,26% - 50%,Likely,Unlikely,Unlikely,Likely,Unlikely,9,10,10,8,10,51% - 75%,26% - 50%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Very Likely,Likely,Very Likely,Likely,6,10,10,7,10,76% - 100%,51% - 75%,51% - 75%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,51% - 75%,26% - 50%,Likely,Unlikely,Moderate,Likely,Unlikely,7,10,10,9,10,51% - 75%,26% - 50%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,26% - 50%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Very Likely,Moderate,Very Likely,Likely,6,10,9,6,8,76% - 100%,51% - 75%,51% - 75%,26% - 50%,51% - 75%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,26% - 50%,Likely,Unlikely,Unlikely,Likely,Unlikely,8,10,10,8,10,51% - 75%,26% - 50%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,0% - 25%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Very Likely,Moderate,Very Likely,Likely,6,9,8,7,9,76% - 100%,51% - 75%,51% - 75%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,26% - 50%,Likely,Unlikely,Unlikely,Likely,Unlikely,8,10,10,9,10,51% - 75%,26% - 50%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,0% - 25%,26% - 50%
1.1002E+11,Industry - Software Development,Very Likely,Moderate,Likely,Very Likely,Likely,6,9,8,6,9,76% - 100%,51% - 75%,51% - 75%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,26% - 50%,Likely,Unlikely,Moderate,Likely,Unlikely,8,9,9,8,9,51% - 75%,26% - 50%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,0% - 25%,26% - 50%
1.1002E+11,Academia,Very Likely,Moderate,Likely,Very Likely,Unlikely,7,7,5,9,7,26% - 50%,51% - 75%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,76% - 100%,51% - 75%,26% - 50%,76% - 100%,Unlikely,Moderate,Likely,Likely,Likely,2,3,6,6,1,0% - 25%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,26% - 50%
1.10019E+11,Industry - QA,Very Likely,Likely,Moderate,Very Likely,Very Likely,6,8,10,5,7,51% - 75%,0% - 25%,26% - 50%,0% - 25%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,76% - 100%,Very Likely,Unlikely,Likely,Likely,Likely,7,9,9,10,10,51% - 75%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%
1.10019E+11,Industry - Software Development,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,4,5,5,5,5,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,Moderate,Unlikely,Likely,Very Likely,Unlikely,9,9,9,5,9,51% - 75%,26% - 50%,51% - 75%,26% - 50%,51% - 75%,26% - 50%,51% - 75%,26% - 50%,76% - 100%,51% - 75%
1.10019E+11,Student,Very Likely,Likely,Likely,Very Likely,Very Likely,3,8,7,5,10,76% - 100%,76% - 100%,26% - 50%,0% - 25%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,26% - 50%,26% - 50%,Moderate,Unlikely,Unlikely,Likely,Unlikely,7,9,9,7,10,26% - 50%,0% - 25%,0% - 25%,0% - 25%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,0% - 25%,0% - 25%
1.10019E+11,Unemployed,Likely,Likely,Likely,Moderate,Moderate,5,4,4,3,4,76% - 100%,76% - 100%,76% - 100%,51% - 75%,76% - 100%,76% - 100%,76% - 100%,51% - 75%,76% - 100%,76% - 100%,Moderate,Moderate,Likely,Moderate,Likely,5,6,4,5,5,51% - 75%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,26% - 50%,76% - 100%
1.10019E+11,Student,Unlikely,Unlikely,Unlikely,Very Likely,Very Likely,8,8,5,4,3,26% - 50%,0% - 25%,26% - 50%,0% - 25%,0% - 25%,26% - 50%,51% - 75%,0% - 25%,51% - 75%,26% - 50%,Unlikely,Unlikely,Likely,Likely,Likely,8,8,6,4,4,0% - 25%,51% - 75%,0% - 25%,51% - 75%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,26% - 50%,0% - 25%
1.10019E+11,Industry - QA,Moderate,Moderate,Likely,Likely,Moderate,5,5,7,8,6,0% - 25%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,Rarely,Rarely,Rarely,Unlikely,Rarely,1,1,2,2,1,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%
1.10019E+11,Academia,Very Likely,Likely,Likely,Likely,Likely,3,7,8,5,7,76% - 100%,0% - 25%,51% - 75%,26% - 50%,51% - 75%,26% - 50%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,Likely,Moderate,Unlikely,Likely,Unlikely,7,8,9,7,7,51% - 75%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,26% - 50%
1.10019E+11,Industry - Software Development,Very Likely,Likely,Likely,Very Likely,Likely,2,7,6,3,7,76% - 100%,0% - 25%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,0% - 25%,0% - 25%,26% - 50%,51% - 75%,Likely,Moderate,Moderate,Likely,Unlikely,4,9,8,5,9,26% - 50%,0% - 25%,0% - 25%,51% - 75%,0% - 25%,26% - 50%,0% - 25%,0% - 25%,51% - 75%,76% - 100%
1.10019E+11,Industry - QA,Moderate,Likely,Likely,Likely,Likely,7,8,8,8,8,26% - 50%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,Likely,Likely,Moderate,Likely,Unlikely,9,9,9,9,9,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%
1.10019E+11,Industry - Software Development,Moderate,Likely,Very Likely,Very Likely,Very Likely,4,7,8,2,7,51% - 75%,76% - 100%,0% - 25%,51% - 75%,26% - 50%,26% - 50%,76% - 100%,76% - 100%,51% - 75%,51% - 75%,Likely,Unlikely,Rarely,Very Likely,Rarely,3,9,10,2,10,51% - 75%,76% - 100%,0% - 25%,26% - 50%,0% - 25%,0% - 25%,76% - 100%,76% - 100%,26% - 50%,51% - 75%
1.10019E+11,Industry - Software Development,Moderate,Likely,Unlikely,Moderate,Likely,3,6,8,5,7,26% - 50%,51% - 75%,26% - 50%,51% - 75%,51% - 75%,76% - 100%,0% - 25%,0% - 25%,26% - 50%,26% - 50%,Unlikely,Unlikely,Rarely,Moderate,Rarely,7,8,10,7,8,0% - 25%,0% - 25%,0% - 25%,51% - 75%,51% - 75%,76% - 100%,0% - 25%,0% - 25%,26% - 50%,51% - 75%
1.10019E+11,Student,Very Likely,Very Likely,Likely,Likely,Moderate,5,5,10,8,10,76% - 100%,51% - 75%,76% - 100%,51% - 75%,26% - 50%,26% - 50%,51% - 75%,51% - 75%,26% - 50%,51% - 75%,Very Likely,Unlikely,Moderate,Likely,Moderate,7,7,10,8,10,51% - 75%,51% - 75%,51% - 75%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,51% - 75%
1.10019E+11,Academia,Very Likely,Very Likely,Likely,Unlikely,Very Likely,8,8,8,1,8,26% - 50%,76% - 100%,26% - 50%,76% - 100%,76% - 100%,0% - 25%,76% - 100%,0% - 25%,26% - 50%,76% - 100%,Unlikely,Moderate,Very Likely,Very Likely,Very Likely,10,10,1,1,10,0% - 25%,76% - 100%,0% - 25%,76% - 100%,76% - 100%,0% - 25%,76% - 100%,0% - 25%,51% - 75%,51% - 75%
1.10019E+11,Industry - Software Development,Very Likely,Likely,Very Likely,Very Likely,Very Likely,1,5,5,2,10,0% - 25%,0% - 25%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,51% - 75%,26% - 50%,76% - 100%,76% - 100%,Rarely,Unlikely,Likely,Likely,Likely,10,10,7,5,10,51% - 75%,0% - 25%,26% - 50%,26% - 50%,76% - 100%,51% - 75%,51% - 75%,51% - 75%,76% - 100%,76% - 100%
1.10019E+11,Industry - QA,Very Likely,Very Likely,Very Likely,Moderate,Very Likely,8,10,10,5,9,26% - 50%,26% - 50%,26% - 50%,51% - 75%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,Very Likely,Unlikely,Likely,Moderate,Likely,10,10,9,5,10,51% - 75%,76% - 100%,76% - 100%,76% - 100%,51% - 75%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%
1.10019E+11,Academia,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,3,3,3,3,3,0% - 25%,26% - 50%,26% - 50%,26% - 50%,0% - 25%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,10,10,10,10,10,0% - 25%,51% - 75%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,51% - 75%,0% - 25%,76% - 100%
1.10019E+11,Industry - Software Development,Likely,Likely,Moderate,Moderate,Likely,7,9,6,7,7,0% - 25%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,0% - 25%,26% - 50%,Unlikely,Unlikely,Moderate,Unlikely,Unlikely,9,9,9,8,9,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,0% - 25%,26% - 50%,0% - 25%,26% - 50%
1.10019E+11,Industry - QA,Very Likely,Likely,Likely,Very Likely,Likely,4,7,6,3,6,26% - 50%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,0% - 25%,51% - 75%,26% - 50%,51% - 75%,Likely,Moderate,Moderate,Moderate,Moderate,8,9,9,8,10,51% - 75%,51% - 75%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%
1.10019E+11,Industry - QA,Rarely,Moderate,Moderate,Very Likely,Very Likely,7,7,6,1,4,26% - 50%,26% - 50%,76% - 100%,26% - 50%,76% - 100%,26% - 50%,76% - 100%,26% - 50%,51% - 75%,26% - 50%,Likely,Moderate,Likely,Likely,Likely,7,8,7,8,8,26% - 50%,26% - 50%,26% - 50%,51% - 75%,26% - 50%,51% - 75%,26% - 50%,51% - 75%,26% - 50%,26% - 50%
1.10019E+11,Student,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,8,8,8,8,8,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,Unlikely,Moderate,Moderate,Moderate,Moderate,10,10,10,10,10,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%
1.10019E+11,Industry - QA,Likely,Likely,Unlikely,Moderate,Likely,7,7,4,4,8,26% - 50%,0% - 25%,0% - 25%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,51% - 75%,51% - 75%,Likely,Moderate,Moderate,Likely,Unlikely,8,8,3,3,10,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,26% - 50%,51% - 75%,51% - 75%
1.10019E+11,Industry - QA,Unlikely,Moderate,Likely,Very Likely,Very Likely,1,5,7,2,4,76% - 100%,76% - 100%,51% - 75%,51% - 75%,76% - 100%,0% - 25%,0% - 25%,0% - 25%,76% - 100%,51% - 75%,Unlikely,Moderate,Moderate,Likely,Moderate,7,10,10,8,10,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,51% - 75%,76% - 100%,76% - 100%,76% - 100%,51% - 75%
1.10019E+11,Industry - QA,Very Likely,Very Likely,Very Likely,Moderate,Moderate,7,7,7,7,7,51% - 75%,76% - 100%,51% - 75%,51% - 75%,51% - 75%,76% - 100%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,Very Likely,Very Likely,Very Likely,Moderate,Very Likely,10,10,10,10,10,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%
1.10019E+11,Academia,Likely,Likely,Very Likely,Very Likely,Very Likely,10,10,10,4,10,51% - 75%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,76% - 100%,0% - 25%,51% - 75%,0% - 25%,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,10,10,10,5,10,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%
1.10019E+11,Industry - Software Development,Likely,Moderate,Likely,Likely,Likely,7,7,7,7,7,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,Unlikely,Unlikely,Moderate,Unlikely,Unlikely,9,9,9,9,9,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%
1.10019E+11,Industry - Software Development,Very Likely,Very Likely,Likely,Very Likely,Moderate,5,5,10,8,8,76% - 100%,76% - 100%,76% - 100%,76% - 100%,51% - 75%,26% - 50%,76% - 100%,26% - 50%,26% - 50%,51% - 75%,Very Likely,Unlikely,Moderate,Likely,Moderate,5,5,10,9,10,76% - 100%,76% - 100%,76% - 100%,76% - 100%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%,26% - 50%
1.10019E+11,Industry - Software Development,Rarely,Very Likely,Very Likely,Very Likely,Likely,10,10,10,10,10,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,Rarely,Moderate,Likely,Likely,Likely,10,10,10,10,10,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%
1.10019E+11,Industry - Software Development,Likely,Likely,Very Likely,Unlikely,Moderate,3,3,2,5,6,51% - 75%,51% - 75%,51% - 75%,51% - 75%,76% - 100%,76% - 100%,26% - 50%,51% - 75%,26% - 50%,26% - 50%,Moderate,Moderate,Moderate,Very Likely,Moderate,4,4,3,2,1,26% - 50%,26% - 50%,26% - 50%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,76% - 100%,76% - 100%
1.10019E+11,Industry - QA,Moderate,Likely,Moderate,Likely,Likely,6,7,7,6,7,26% - 50%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,26% - 50%,0% - 25%,0% - 25%,26% - 50%,26% - 50%,Likely,Unlikely,Moderate,Likely,Moderate,8,9,8,8,8,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%
1.10019E+11,Industry - Software Development,Likely,Likely,Likely,Moderate,Moderate,7,7,8,6,6,51% - 75%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,26% - 50%,0% - 25%,51% - 75%,0% - 25%,Likely,Moderate,Moderate,Moderate,Moderate,8,6,6,6,6,51% - 75%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,51% - 75%,0% - 25%
1.10019E+11,Industry - Software Development,Very Likely,Likely,Moderate,Likely,Moderate,9,10,10,8,8,76% - 100%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,76% - 100%,76% - 100%,76% - 100%,51% - 75%,51% - 75%,Likely,Moderate,Moderate,Likely,Moderate,9,10,10,8,9,51% - 75%,51% - 75%,26% - 50%,76% - 100%,51% - 75%,76% - 100%,51% - 75%,26% - 50%,51% - 75%,51% - 75%
1.10019E+11,Freelance,Likely,Very Likely,Very Likely,Very Likely,Very Likely,10,10,8,7,10,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,Very Likely,Unlikely,Likely,Very Likely,Likely,10,10,10,9,10,26% - 50%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%,51% - 75%,0% - 25%
1.10019E+11,Student,Unlikely,Likely,Very Likely,Moderate,Very Likely,4,6,4,2,5,26% - 50%,26% - 50%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,0% - 25%,0% - 25%,51% - 75%,51% - 75%,Moderate,Unlikely,Moderate,Likely,Moderate,7,10,10,6,5,26% - 50%,26% - 50%,0% - 25%,51% - 75%,26% - 50%,51% - 75%,0% - 25%,26% - 50%,51% - 75%,51% - 75%
1.10019E+11,Academia,Unlikely,Likely,Likely,Rarely,Likely,1,2,1,1,1,26% - 50%,0% - 25%,51% - 75%,51% - 75%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,76% - 100%,Unlikely,Moderate,Moderate,Rarely,Moderate,9,9,9,9,9,0% - 25%,0% - 25%,51% - 75%,51% - 75%,76% - 100%,76% - 100%,0% - 25%,0% - 25%,76% - 100%,76% - 100%
1.10019E+11,Academia,Moderate,Moderate,Unlikely,Likely,Moderate,8,10,10,8,8,26% - 50%,26% - 50%,26% - 50%,0% - 25%,0% - 25%,0% - 25%,26% - 50%,0% - 25%,0% - 25%,0% - 25%,Rarely,Rarely,Rarely,Rarely,Rarely,10,10,10,10,10,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,0% - 25%,26% - 50%,0% - 25%,0% - 25%,0% - 25%
1.10019E+11,Other (please specify),Moderate,Likely,Likely,Moderate,Moderate,6,7,6,7,7,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,Moderate,Moderate,Moderate,Likely,Moderate,7,6,6,7,7,26% - 50%,51% - 75%,26% - 50%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%,51% - 75%
