Respondent ID,What is your current professional affiliation?,,"Please rank all the options when you would recommend using an LLM to help fix a software bug.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the options when you would restrict the use of an LLM to help fix a software bug.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the security policies that an organization should enforce when using LLM for bug fixing.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the validation processes LLM-generated code should go through.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the measures LLM-generated bug fixes should undergo to ensure accountability.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the measures LLM-generated bug fixes should undergo to ensure transparency.Here, 1 = most effective and 6 = least effective. You can also drag each option to adjust its ranking.",,,,,,"Please rank all the following topics that are essential to disclose regarding LLM system usage.Here, 1 = most effective and 8 = least effective. You can also drag each option to adjust its ranking.",,,,,,,,"Please rank all the channels through which 'Disclosures of LLM Systems' should be communicated.Here, 1 = most effective and 8 = least effective. You can also drag each option to adjust its ranking.",,,,,,,,Please select the access level to the LLM usage disclosure documents.,,,,,
,Response,Other (please specify),For general code/program suggestions,For software documentation,For test case generation,For software testing,For software reviewing,When organizational policies and risk guidelines are followed,"Security-critical modules (e.g., authentication, encryption)","Proprietary or patented method (e.g., internal fraud detection algorithm, recommendation engine)","Compliance-sensitive areas (e.g., legal, finance)","Ethical decision-making systems (e.g., AI-driven hiring tools)","User privacy handling modules (e.g., consent, data collection)","High-availability or safety-critical systems (e.g., medical, aviation)","Comply with data protection regulations (e.g., GDPR, HIPAA, ISO/IEC 27001)",Restrict LLM access to confidential or proprietary business data,Encrypt or anonymize data before sending to LLM,Use on-premises LLMs for sensitive projects instead of cloud-based services.,Organizational approval before using third-party AI tools,Limit copy-paste from AI to avoid licensing/legal issues,Manual review by developers,Automated security scans and vulnerability testing,Extended testing for high-risk applications,Tag LLM-generated code for reviews,Require dual validation: one human reviewer + one automated test pass,Route AI-generated fixes to a separate branch for independent review and testing before merge,Assign credit to the LLM for code contributions,Assign liability if LLM fixes cause damage or failure,Assign responsibility to a human reviewer for reviewing LLM fixes,Document who approved or deployed the LLM-generated fix,"Log AI tool usage metadata (prompt, model, timestamp) in version control",Require sign-off from responsible person before merging LLM-generated fixes,Maintain logs of LLM-generated code,Define the types of help taken from LLM,Require LLM to provide reasoning behind their suggested fixes.,Tag reviewer approval,In-code labeling to flag AI-generated logic/code,Mandatory LLM disclosure note in commit messages,Purpose & Scope - What the LLM is used for and its limitations,"Code Contribution - What parts were AI-generated, including liability and credit","Data Handling - Specify how data is collected, stored, and processed","Model explanation - Description of how the AI model produced the fix (e.g., logic, reasoning, or influencing factors)",Ethical Standards - Steps taken to ensure fairness and avoid discrimination,Governance and Accountability - Define oversight roles and responsibilities for LLM management,Justification or intention - Why the AI tool was used,Validation level - How thoroughly the AI-generated fix was reviewed or tested,Official Reports - Internal reporting documents,"Version Control - Commit messages, diffs, or pull request summaries","User Documentation - Manuals, FAQs, or product help sections",Developer Dashboards - Logs or summaries tracking AI-generated code by developer each session,"Stakeholder Meetings - Presentations to partners, users, or clients",Regulatory Filings - Reports submitted for compliance/legal needs,"Method/ Class Level Code Documentation - Before each method/class, document types of help taken from LLM, liability%, credit%, and risk level","In-line Code Comments - Mark specific lines where LLM contributed (e.g., // generated by Copilot)",Peer Developers,Team Leads,Project Supervisor,QA Engineers,Legal/Compliance,Stakeholder
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Industry - Software Development,,1,2,3,6,5,4,1,4,5,6,2,3,3,1,2,4,5,6,5,6,3,4,1,2,6,5,2,1,3,4,2,4,1,3,5,6,3,6,1,8,7,5,2,4,7,3,1,2,8,6,5,4,Limited access,Full access,Full access,Limited access,Limited access,No access
1.1002E+11,Academia,,6,5,3,4,2,1,6,3,2,5,1,4,1,3,4,6,5,2,5,6,3,4,2,1,3,6,1,4,2,5,1,4,3,6,5,2,4,8,3,1,6,7,2,5,4,2,1,7,6,3,5,8,Full access,Limited access,Limited access,No access,Full access,Limited access
1.10019E+11,Industry - QA,,1,2,3,4,5,6,2,6,3,5,1,4,1,4,2,5,6,3,4,3,1,2,6,5,2,3,1,5,4,6,6,1,2,4,5,3,4,6,2,7,3,1,5,8,1,4,3,8,2,7,5,6,Limited access,Full access,Full access,Limited access,Full access,Limited access
1.10019E+11,Industry - Software Development,,5,2,4,3,1,6,5,1,2,6,4,3,5,6,4,3,2,1,5,4,6,1,3,2,2,3,1,4,5,6,5,4,6,3,2,1,4,6,3,7,1,2,8,5,8,6,3,2,4,7,5,1,Limited access,Full access,Full access,Limited access,Limited access,Full access
1.10019E+11,Student,,1,3,4,2,5,6,1,3,4,5,6,2,6,3,5,1,2,4,5,6,4,2,3,1,6,4,3,2,5,1,2,5,6,4,1,3,5,1,6,4,7,2,8,3,4,5,7,2,6,3,8,1,Limited access,Full access,Full access,Full access,Full access,Limited access
1.10019E+11,Unemployed,,2,1,5,6,4,3,6,1,3,5,4,2,4,6,1,5,3,2,6,2,4,1,5,3,4,1,2,5,3,6,6,1,2,3,4,5,1,3,2,7,6,8,4,5,3,7,2,1,8,5,4,6,Limited access,Limited access,Limited access,Limited access,Limited access,Limited access
1.10019E+11,Student,,2,1,3,5,4,6,5,3,6,4,2,1,2,1,6,3,5,4,2,6,5,4,3,1,4,3,2,1,5,6,6,3,5,4,1,2,8,3,1,7,2,5,4,6,3,7,6,8,5,2,4,1,Limited access,Full access,Limited access,Full access,Full access,Limited access
1.10019E+11,Industry - QA,,3,5,1,2,4,6,2,3,4,6,1,5,6,1,3,4,2,5,4,1,3,6,2,5,3,6,4,2,1,5,2,5,6,1,4,3,4,2,6,3,5,7,8,1,1,4,8,3,7,5,6,2,Limited access,Full access,Full access,Full access,Limited access,Full access
1.10019E+11,Academia,,6,4,2,5,3,1,5,4,6,2,3,1,4,2,5,1,3,6,5,6,3,4,1,2,6,4,2,3,5,1,3,6,5,4,2,1,7,1,4,3,6,5,8,2,8,2,5,1,3,7,6,4,Limited access,Full access,Full access,Full access,Limited access,Limited access
1.10019E+11,Industry - Software Development,,1,4,5,6,3,2,2,6,4,1,5,3,5,1,2,3,6,4,1,2,5,3,4,6,3,2,6,4,1,5,2,1,5,6,4,3,2,3,8,7,4,5,6,1,6,7,2,8,5,1,4,3,Limited access,Limited access,Limited access,Limited access,Limited access,Limited access
1.10019E+11,Industry - QA,,2,3,1,5,6,4,2,1,4,3,6,5,3,1,4,2,5,6,2,1,3,6,5,4,1,5,2,3,6,4,5,1,2,3,6,4,4,1,2,3,6,8,7,5,7,5,1,2,8,4,3,6,Limited access,Limited access,Full access,Full access,No access,No access
1.10019E+11,Industry - Software Development,,3,2,4,6,5,1,5,3,6,2,4,1,2,3,4,1,5,6,1,6,3,4,2,5,3,6,1,2,5,4,6,4,5,3,2,1,3,4,7,8,1,6,2,5,7,3,1,6,2,8,5,4,Limited access,Full access,Full access,Limited access,Full access,Limited access
1.10019E+11,Industry - Software Development,,3,6,4,1,5,2,4,6,1,2,5,3,2,4,3,6,1,5,2,5,3,4,1,6,6,3,4,5,1,2,4,3,1,2,5,6,7,1,6,4,5,8,2,3,3,8,4,1,2,6,5,7,Limited access,Limited access,Limited access,No access,Limited access,No access
1.10019E+11,Student,,3,1,4,2,6,5,3,1,6,5,4,2,1,3,4,2,5,6,2,4,5,1,3,6,6,3,1,2,4,5,4,6,3,5,1,2,1,2,3,6,4,8,7,5,6,1,4,3,8,7,2,5,Full access,Full access,Limited access,Limited access,Full access,Limited access
1.10019E+11,Academia,,5,3,1,4,2,6,6,4,2,1,3,5,3,4,1,2,6,5,4,1,2,5,3,6,5,4,3,6,1,2,3,4,5,6,1,2,8,2,1,5,3,7,6,4,6,5,4,3,7,2,1,8,Limited access,Full access,Full access,No access,Limited access,No access
1.10019E+11,Industry - Software Development,,3,6,2,5,1,4,3,5,4,6,2,1,2,5,3,4,1,6,6,4,2,1,3,5,5,6,1,3,2,4,1,3,2,5,6,4,2,7,3,8,6,4,1,5,6,4,2,3,1,5,8,7,Limited access,Full access,Full access,Limited access,Full access,Limited access
1.10019E+11,Industry - QA,,1,2,3,4,5,6,3,6,5,1,4,2,3,1,4,6,2,5,1,6,2,3,4,5,5,4,2,3,6,1,3,5,1,2,4,6,8,3,7,6,4,2,5,1,3,7,1,5,4,2,8,6,Limited access,Full access,Full access,Full access,Limited access,Limited access
1.10019E+11,Academia,,2,3,1,4,5,6,2,5,4,6,3,1,3,5,4,2,6,1,4,5,3,1,2,6,4,5,3,2,1,6,6,3,2,1,4,5,6,5,1,3,8,7,4,2,2,7,3,5,1,4,6,8,Full access,Full access,Full access,Full access,Full access,Full access
1.10019E+11,Industry - Software Development,,2,1,6,5,4,3,4,3,2,5,1,6,2,5,6,1,3,4,3,5,4,6,2,1,4,3,5,1,2,6,3,6,2,5,4,1,2,7,5,1,6,8,4,3,8,7,2,6,3,5,1,4,Limited access,Limited access,Limited access,Limited access,Limited access,Limited access
1.10019E+11,Industry - QA,,3,6,2,4,5,1,3,1,5,6,2,4,1,2,3,5,6,4,2,3,4,5,6,1,2,3,6,4,5,1,3,4,2,6,5,1,6,8,7,5,4,2,3,1,5,1,6,3,7,4,2,8,Limited access,Full access,Limited access,Limited access,No access,No access
1.10019E+11,Industry - QA,,2,4,5,3,6,1,5,3,2,1,6,4,1,5,4,3,2,6,6,2,5,4,1,3,6,3,1,5,2,4,5,1,2,3,6,4,1,2,4,5,7,6,3,8,2,4,5,3,8,6,1,7,Limited access,Full access,Full access,Limited access,Full access,Limited access
1.10019E+11,Student,,1,5,2,4,3,6,4,5,2,6,1,3,4,3,2,5,6,1,2,6,5,1,3,4,1,5,2,4,6,3,3,5,1,6,4,2,5,8,2,7,4,1,6,3,4,7,1,8,2,6,5,3,Full access,Full access,Full access,Full access,Full access,Full access
1.10019E+11,Industry - QA,,1,6,4,2,3,5,1,5,4,6,2,3,3,2,4,6,1,5,4,6,2,1,3,5,2,4,1,3,5,6,1,3,6,4,2,5,6,3,1,5,7,2,4,8,5,8,6,4,1,3,2,7,Full access,Full access,Full access,Full access,Limited access,Limited access
1.10019E+11,Industry - QA,,2,3,1,5,4,6,1,4,3,6,5,2,2,1,5,3,4,6,5,6,1,4,3,2,4,5,2,1,3,6,3,6,1,5,4,2,7,5,8,6,2,1,4,3,6,3,2,5,7,1,8,4,Full access,Full access,Limited access,Limited access,No access,No access
1.10019E+11,Industry - QA,,2,1,6,4,5,3,1,6,3,2,4,5,5,1,3,4,2,6,5,2,1,4,3,6,3,2,4,1,5,6,5,2,1,4,3,6,4,2,5,3,1,7,6,8,1,7,3,2,5,6,4,8,Limited access,Full access,Full access,Limited access,Limited access,No access
1.10019E+11,Academia,,2,1,6,3,4,5,5,1,6,3,4,2,3,2,6,1,5,4,4,6,3,1,5,2,4,6,1,3,5,2,5,6,3,2,4,1,5,3,2,6,4,1,7,8,8,3,1,4,5,2,7,6,Limited access,Full access,Full access,Limited access,Limited access,Limited access
1.10019E+11,Industry - Software Development,,1,2,4,3,5,6,2,3,5,1,4,6,5,3,1,2,6,4,1,3,6,5,2,4,6,1,3,2,5,4,4,1,6,5,3,2,1,8,7,4,6,2,3,5,6,4,1,3,2,8,7,5,Limited access,Full access,Full access,Limited access,Limited access,Limited access
1.10019E+11,Industry - Software Development,,2,4,1,5,3,6,3,6,4,5,1,2,1,3,6,2,4,5,1,3,5,4,2,6,2,3,5,4,1,6,3,2,1,5,4,6,7,8,1,5,2,3,6,4,8,2,3,6,7,5,4,1,Full access,Full access,Full access,Full access,Full access,Full access
1.10019E+11,Industry - Software Development,,2,1,4,3,5,6,6,5,4,1,3,2,2,3,4,1,5,6,1,6,5,4,3,2,6,5,1,4,2,3,2,6,5,1,3,4,4,8,6,5,2,3,7,1,4,1,2,8,7,3,5,6,Full access,Full access,No access,Limited access,No access,No access
1.10019E+11,Industry - Software Development,,3,5,1,6,2,4,2,1,3,4,5,6,2,3,4,1,5,6,3,5,6,4,2,1,6,1,2,5,4,3,4,5,3,1,6,2,2,6,1,4,8,7,5,3,8,4,1,7,2,3,6,5,Limited access,Full access,Full access,Limited access,Limited access,No access
1.10019E+11,Industry - QA,,3,4,2,1,5,6,2,4,3,1,5,6,5,6,1,4,3,2,1,4,3,6,5,2,1,3,4,2,5,6,2,3,4,5,6,1,5,2,3,1,8,7,6,4,7,3,6,2,8,4,1,5,Limited access,Full access,Full access,Limited access,Limited access,Limited access
1.10019E+11,Industry - Software Development,,5,4,2,3,6,1,2,4,1,6,5,3,1,3,5,2,4,6,6,1,2,4,5,3,5,4,6,1,3,2,4,6,1,3,2,5,6,4,3,2,5,7,8,1,4,5,8,2,7,6,1,3,Full access,Full access,Full access,Limited access,Limited access,Full access
1.10019E+11,Industry - Software Development,,1,2,3,6,5,4,2,6,4,1,5,3,3,5,4,2,1,6,1,2,3,6,5,4,6,5,3,1,2,4,5,2,3,1,4,6,6,8,5,3,1,2,7,4,8,2,3,1,5,7,4,6,Full access,Full access,Full access,Full access,Full access,Full access
1.10019E+11,Freelance,,2,1,5,4,6,3,2,1,5,6,3,4,5,2,4,3,1,6,2,6,4,5,1,3,6,1,2,3,5,4,2,1,5,3,6,4,1,3,6,4,8,2,7,5,7,3,4,5,8,6,1,2,Full access,Limited access,Full access,Full access,Limited access,No access
1.10019E+11,Student,,3,2,4,5,6,1,1,5,3,6,4,2,4,2,5,3,1,6,6,2,1,4,5,3,1,5,6,2,4,3,5,3,1,2,4,6,3,5,1,2,6,7,8,4,6,3,4,7,5,1,2,8,Full access,Full access,Full access,Limited access,Full access,Limited access
1.10019E+11,Academia,,4,6,2,3,5,1,3,2,4,1,6,5,1,4,5,3,2,6,1,5,3,2,4,6,6,5,3,4,2,1,5,3,6,2,1,4,6,5,8,4,1,2,7,3,1,4,6,2,8,7,5,3,Limited access,Full access,Limited access,Limited access,Limited access,No access
1.10019E+11,Academia,,3,2,4,5,6,1,2,5,4,1,6,3,3,1,2,4,5,6,5,2,1,4,6,3,5,4,6,2,1,3,2,1,4,6,3,5,7,5,4,8,1,2,3,6,6,4,7,2,5,8,3,1,Limited access,Limited access,Limited access,Limited access,Limited access,No access
1.10019E+11,Other (please specify),Product Manager ,4,3,1,5,2,6,5,1,3,4,2,6,1,2,5,4,3,6,1,6,2,4,3,5,3,5,2,1,6,4,6,4,2,1,5,3,4,8,5,6,7,2,3,1,5,6,7,3,8,4,2,1,Limited access,Limited access,Full access,Limited access,Full access,Limited access
1.10019E+11,Unemployed,,1,5,4,3,2,6,1,3,2,5,4,6,4,6,3,1,2,5,2,6,3,4,1,5,5,6,1,2,4,3,4,1,6,3,2,5,4,3,1,6,2,8,7,5,6,8,7,4,2,3,1,5,Full access,Full access,Full access,Full access,Full access,Full access
1.10019E+11,Industry - QA,,6,1,3,4,2,5,5,4,3,2,1,6,2,1,6,3,4,5,5,2,4,1,6,3,6,1,4,5,3,2,1,5,6,2,3,4,6,5,8,3,7,4,1,2,1,4,5,7,6,2,3,8,Full access,Full access,Full access,Full access,Limited access,Limited access
1.10019E+11,Student,,1,6,3,2,5,4,4,3,2,6,1,5,2,6,1,5,3,4,2,5,6,4,1,3,6,5,2,3,4,1,4,1,2,6,3,5,6,3,4,7,1,8,5,2,2,1,5,7,4,8,6,3,Full access,Full access,Full access,Full access,Full access,Full access
1.10019E+11,Academia,,1,2,3,6,4,5,3,6,2,5,4,1,6,2,5,3,4,1,6,4,3,2,1,5,4,5,1,3,6,2,4,1,2,5,3,6,4,1,3,5,2,7,8,6,8,2,1,5,3,7,4,6,Limited access,No access,Limited access,Limited access,No access,No access
1.10019E+11,Academia,,1,3,4,6,5,2,3,4,2,6,5,1,3,1,2,6,4,5,6,2,3,5,1,4,6,5,2,4,1,3,1,3,5,6,2,4,7,1,4,2,5,3,8,6,3,7,4,1,8,6,5,2,Limited access,Full access,Full access,Limited access,Limited access,Full access
1.10019E+11,Student,,2,4,1,6,5,3,4,5,3,1,2,6,2,6,3,4,5,1,2,6,5,4,3,1,6,1,4,2,5,3,3,2,6,4,5,1,7,5,2,6,1,8,4,3,4,3,5,6,8,1,7,2,No access,No access,No access,No access,No access,No access
1.10019E+11,Student,,1,2,3,5,4,6,4,6,3,5,2,1,1,4,5,2,3,6,4,5,3,6,1,2,6,3,1,5,4,2,6,4,1,2,5,3,4,2,8,1,6,5,7,3,6,4,8,3,7,5,1,2,Full access,Full access,Full access,Full access,Full access,Full access
1.10019E+11,Industry - Software Development,,4,1,6,3,2,5,2,5,4,1,3,6,1,4,6,2,3,5,3,5,4,6,2,1,1,2,6,5,4,3,1,3,4,2,5,6,1,5,3,7,6,8,2,4,6,2,1,8,3,7,5,4,Limited access,Limited access,Limited access,Limited access,No access,No access
1.10019E+11,Student,,5,1,2,6,3,4,4,5,3,2,6,1,1,5,2,4,3,6,3,6,1,2,5,4,5,3,4,6,1,2,4,3,1,5,2,6,8,4,5,6,7,2,1,3,2,6,3,1,4,5,8,7,Limited access,Full access,Full access,Full access,Limited access,Limited access
1.10019E+11,Student,,1,2,5,4,3,6,2,4,3,6,5,1,5,1,3,4,2,6,5,4,6,1,3,2,2,5,4,1,3,6,4,5,3,6,2,1,3,2,6,4,7,8,1,5,6,3,8,2,5,7,4,1,Full access,Full access,Full access,Full access,Full access,Full access
1.10019E+11,Industry - Software Development,,2,3,1,4,5,6,2,6,5,3,1,4,5,1,6,3,2,4,2,6,1,5,3,4,5,6,3,1,2,4,4,3,2,6,5,1,1,6,3,8,2,7,4,5,6,2,5,1,7,8,4,3,Full access,Full access,Full access,Full access,Limited access,Limited access
1.10019E+11,Academia,,1,2,4,6,5,3,4,2,5,1,3,6,3,4,2,6,5,1,6,1,2,3,4,5,2,6,4,1,3,5,3,5,1,6,4,2,3,4,1,6,8,2,5,7,5,2,8,1,3,7,6,4,Limited access,Full access,Full access,Limited access,Limited access,Full access
1.10019E+11,Industry - Software Development,,2,1,4,6,5,3,2,3,6,1,5,4,1,4,5,6,2,3,6,2,5,3,1,4,6,4,3,1,5,2,5,4,2,1,3,6,7,1,4,8,6,3,2,5,7,5,6,8,4,3,1,2,Limited access,Full access,Full access,Full access,Full access,Full access
1.10019E+11,Academia,,6,5,1,2,4,3,4,1,5,6,3,2,3,5,2,1,6,4,2,4,5,1,3,6,6,3,1,4,2,5,2,4,5,6,3,1,7,8,4,3,5,2,1,6,6,3,8,2,4,7,1,5,Limited access,Limited access,Limited access,Limited access,Limited access,Limited access
1.10019E+11,Academia,,4,2,3,6,5,1,5,2,6,3,1,4,3,1,4,5,2,6,1,6,4,5,2,3,6,2,3,1,4,5,2,3,5,1,6,4,4,5,2,1,6,8,3,7,7,5,4,6,1,3,2,8,Limited access,Limited access,Full access,Limited access,Limited access,No access
1.10019E+11,Student,,2,5,1,3,4,6,3,6,5,1,4,2,5,6,3,4,2,1,1,4,2,5,3,6,5,3,2,1,4,6,4,1,3,6,2,5,4,1,7,3,5,8,6,2,6,1,3,5,8,7,4,2,Full access,Full access,Full access,No access,Limited access,No access
1.10019E+11,Student,,5,3,1,2,4,6,5,2,4,6,1,3,4,2,1,3,5,6,5,2,3,6,1,4,2,4,5,3,1,6,2,3,1,6,5,4,8,6,1,3,5,4,2,7,4,3,5,8,2,7,6,1,Limited access,Full access,Full access,Full access,Limited access,No access
1.10019E+11,Academia,,4,3,2,5,6,1,1,2,6,5,3,4,1,2,3,6,5,4,5,6,3,1,4,2,2,4,1,6,5,3,2,6,1,4,5,3,6,7,1,2,3,5,4,8,8,5,1,7,4,3,6,2,Full access,Full access,Full access,Limited access,Limited access,No access
1.10019E+11,Student,,1,4,3,6,2,5,3,1,4,6,5,2,3,1,4,6,5,2,2,1,5,6,4,3,6,2,4,3,5,1,5,4,2,6,3,1,2,8,4,5,6,3,1,7,1,8,5,2,3,4,7,6,Limited access,Limited access,Full access,Full access,Full access,Full access
